kyA: kyA/__p
kaba: kaba/__p
kahAz: vahAz/__p
kis: None
kin: Apan/A__p
0: None
0~ke_pICe: None
0~ke_pICekA{pu._e.}: None
0~ke_pICekA{pu._ba.}: None
0~ke_pICekA{swrI._e._sajIva._ba.}: None
0~ke_pICekA{swrI._ba._-}: None
0~{swrI._e._na._ba.}: None
0~{pu._e.}: None
0~{na._e._pu._ba.}: None
0~ke_pICese: None
0~ke_pahale: None
0~ke_pahalekA{pu._e.}: None
0~ke_pahalekA{pu._ba.}: None
0~ke_pahalekA{swrI._e._sajIva._ba.}: None
0~ke_pahalekA{swrI._ba._-}: None
0~ke_anusAra: None
0~ke_anusArakA{pu._e.}: None
0~ke_anusArakA{pu._ba.}: None
0~ke_anusArakA{swrI._e._sajIva._ba.}: None
0~ke_anusArakA{swrI._ba._-}: None
deDa+0: None
0~ne_kA: None
0~ke_bAhara: None
0~ke_bAharakA{pu._e.}: None
0~ke_bAhara_kA{pu._ba.}: None
0~ke_bAhara_kA{swrI._e._sajIva._ba.}: None
0~ke_bAhara_kA{swrI._ba._-}: None
0~ke_bAharakA{pu._ba.}: None
0~ke_bAharakA{swrI._e.}: None
0~ke_bAharakA{swrI._ba._-}: None
0~ke_bAharase: None
purA+0: None
purA+kA{pu._e.}: None
purA+kA{pu._ba.}: None
purA+kA{swrI._e.}: None
purA+kA{swrI._ba._-}: None
0~ke_muwAbika: None
wo: None
0~ke_sAWa: None
0~ke_sAWakA{pu._e.}: None
0~ke_sAWakA{pu._ba.}: None
0~ke_sAWakA{swrI._e._sajIva._ba.}: None
0~ke_sAWakA{swrI._ba._-}: None
0~ke_baxale: None
0~ke_bAre_meM: None
0~ke_bAre_meM_hE-jo-vaha{pu._e.}: None
0~ke_bAre_meM_hE-jo-vaha{pu._ba.}: None
0~ke_bAre_meM_hE-jo-vaha{swrI._e.}: None
0~ke_AsapAsa: None
0~ke_AsapAsa_kA{pu._e.}: None
0~ke_AsapAsa_kA{pu._ba.}: None
0~ke_AsapAsa_kA{swrI._e.}: None
0~ke_AsapAsakA{swrI._ba._-}: None
kA~{pu._e.}: None
kA~{pu._ba._na._e.}: None
kA~{swrI._e._na._ba.}: None
kA~{swrI._ba._-}: None
0~kI_waraPase: None
0~ke_bajAya: None
0~ke_bajAya_hE_jo-vaha{pu._e.}: None
0~ke_bajAya_hE_jo-vaha{pu._ba.}: None
0~ke_bajAya_hE_jo-vaha{swrI._e.}: None
0~ke_bajAya_hE_jo-vaha{swrI._ba._-}: None
se: l/e__v
0~[wA_[huA]]: None
future: None
nahIM+0~rahA_WA: None
0~ke_jiwanA{pu._e.}: None
0~ke_jiwanA{na._e.pu._ba.}: None
0~ke_jiwanA{swrI._e._na_ba.}: None
0~kI_jagaha_kA{pu._e.}: None
0~kI_jagaha_kA{pu._ba.}: None
0~kI_jagaha_kA{swrI._e._sajIva._ba.}: None
0~kI_jagaha_kA{swrI._ba._-}: None
0~kI_jagaha: None
0~ke_pAsa: None
0~ke_pAsa_kA{pu._e.}: None
0~ke_pAsa_se: None
0~ke_jEsA: None
0~kI_yogyawA_kA{pu._e.}: None
0~kI_yogyawA_kA{pu._ba.}: None
0~kI_yogyawA_kA{swrI._e.}: None
0~kI_yogyawA_kA{swrI._ba._-}: None
0~kI~ora: None
0~kI~ora_kA{pu._e.}: None
0~kI~ora_kA{pu._ba.}: None
0~kI~ora_kA{swrI._e._sajIva._ba.}: None
0~kI~ora_kA{swrI._ba._-}: None
0~ke~bAju: None
0~kI~ora_se{pu._e.}: None
0~ke_nIce_kA{pu._e.}: None
0~ke_nIce_kA{pu._ba.}: None
0~ke_nIce_kA{swrI._e._sajIva._ba.}: None
0~ke_nIce: None
0~ke_nIce_se: None
0~ke_kAraNa: None
0~ke_lie: None
0~ke_lie_kA{pu._e.}: None
0~ke_lie_kA{pu._ba.}: None
0~ke_lie_kA{swrI._e._sajIva._ba.}: None
0~ke_lie_kA{swrI._ba._-}: None
0~kI_KAwira: None
0~kI_KAwira_kA{pu._e.}: None
0~kI_KAwira_kA{pu._ba.}: None
0~kI_KAwira_kA{swrI._e._sajIva._ba.}: None
0~kI_KAwira_kA{swrI._ba._-}: None
0~ke_sivA: None
ko: None
yA~hE: None
yA~hE{3_pu._e.}: None
yA~hE{2_pu._e.}: None
0~ke_UNKN: None
0~ke_liye: None
yA~WA{2_ba.}: None
yA~WA{2_pu._e.}: None
yA: None
nA~cAhiye{2_pu._e.}: None
nA~cAhiye: None
nA~cAhiye{2_e.}: None
yA~huA_hE: None
yA~hE{_2}: None
yA~hE{2_e.}: None
yA~hE{2_ba.}: None
yA~WA{3_pu._ba.3_na._e.}: None
yA~huA: None
yA~hE{pu._e.}: None
yA~WA{pu._e.}: None
nahIM+yA~hE{3_pu._e.}: None
nahIM+yA~hE{2_swrI._e.}: None
nahIM+yA~hE{2_ba.}: None
nahIM+yA~rahawA_hE{13_pu._e.}: None
nahIM+yA~rahawA_hE{2_pu._e.}: None
nahIM~WA{2_ba.}: None
nahIM~WA{2_pu._e.}: None
yA~WA: None
yA~WA{3_na._e.}: None
nahIM+yA~hE: None
nahIM+yA~rahawA_hE: None
nahIM+yA~rahawA_hE{1_e.}: None
nahIM~WA: None
yA~hE{swrI._e.}: None
yA~hE{3_swrI._e.3_na._ba.}: None
yA~WA{3_swrI._e.3_na._ba.}: None
yA~WA{13_swrI._e.}: None
yA~WA{2_swrI._e.}: None
yA~WA{3_swrI._e.}: None
nahIM+yA~hE{13_swrI._e.}: None
nahIM+yA~hE{3_swrI._e.3_na._ba.}: None
nahIM+yA~rahawA_hE{2_ba.}: None
nahIM+yA~rahawA_hE{13_swrI._e.}: None
nahIM+yA~rahawA_hE{2_swrI._e.}: None
nahIM+yA~rahA_hE{1_ba.}: None
nahIM~WA{3_swrI._e.3_na._ba.}: None
nahIM~WA{2_swrI._e.}: None
yA~hE{1_pu._e.1_ba.}: None
yA~hE{1_ba.}: None
yA~WA{1_pu._e.1_ba.}: None
nahIM+yA~hE{1_pu._e.1_ba.}: None
nahIM+yA~rahawA_hE{1_pu._e.1_ba.}: None
nahIM~WA{1_pu._e.1_ba.}: None
yA~hE{3_swrI._ba.}: None
yA~WA{3_swrI._ba.}: None
nahIM+yA~hE{3_swrI._ba.}: None
nahIM+yA~rahawA_hE{3_swrI._ba.}: None
nahIM~WA{3_swrI._ba.}: None
yA~hE{1_e.}: None
0~ne_ke_anusAra: None
0~we_hI: None
0~ne_ke_kAraNa: None
yA~hE_usakA: None
0~ne_ke_sivA: None
0~ne_ke_bAxa: None
yA~hE_waba_se: None
yA~jEsA: None
yA~wo: None
yA~binA: None
yA~_bagEra: None
0~ke_pICe_kA{pu._e.}: None
0~ke_pICe_kA{pu._ba.}: None
0~ke_pICe_kA{swrI._e._sajIva._ba.}: None
0~ke_pICe_kA{swrI._ba._-}: None
0~ke_anupasWiwImeM: None
0~ke_piCese: None
meM[ke_maXya]: None
0~ke_meM_kA{pu._e.}: None
0~ke_meM_kA{pu._ba.}: None
0~ke_meM_kA{swrI._e.}: None
0~ke_meM_kA{swrI._ba._-}: None
0~ke_bIcameM{pu._e.}: None
0~ke_bIcameM{pu._ba.}: None
0~ke_bIcameM{swrI._e.}: None
0~ke_bIcameM{swrI._ba._-}: None
0~ke_bIcameM: None
0~ke_bIca_meM_se: None
0~ke_aMxara: None
0~ke_kAraNa_kA{pu._e.}: None
0~ke_kAraNa_kA{pu._ba.}: None
0~ke_kAraNa_kA{swrI._e._sajIva._ba.}: None
0~ke_kAraNa_kA{swrI._ba._-}: None
na+wA~huA{: None
0~ke_najaxIka: None
0~ke_najaxIka_kA{pu._e.}: None
0~ke_najaxIka_kA{pu._ba.}: None
0~ke_najaxIka_kA{swrI._e._sajIva._ba.}: None
najaxIka_kA{swrI._ba._-}: None
0~ke_bAxa: None
0~ke_bAxakA{pu._e.}: None
0~ke_bAxakA{pu._ba.}: None
0~ke_bAxakA{swrI._e._sajIva._ba.}: None
0~ke_bAxakA{swrI._ba._-}: None
0~ne_vAlA: None
nA~vAlA_WA{3_pu._e.2_ba..}: None
nA~vAlA_WA{2_pu._e.}: None
nA~vAlA_WA{2_ba.}: None
nA~vAlA_WA{3_pu._ba.3_na._e.}: None
nA~vAlA_WA{3_swrI._e.3_na._ba.}: None
nA~vAlA_WA{2_swrI._e.}: None
nA~vAlA_WA{1_pu._e.1_ba.}: None
nA~vAlA_WA{3_swrI._ba.}: None
nA~vAlA_nahIM_WA{2_ba.}: None
nA~vAlA_nahIM_WA{2_pu._e.}: None
nA~vAlA_nahIM_WA{3_pu._ba.3_na._e.}: None
nA~vAlA_nahIM_WA: None
nA~vAlA_nahIM_WA{2_swrI._e.}: None
nA~vAlA_nahIM_WA{1_pu._e.1_ba.}: None
nA~vAlA_nahIM_WA{3_swrI._ba.}: None
nA~baMxa: None
se[ne]: None
0~nA: None
0~ke_nikata: None
0~ke_nikata_kA{pu._e.}: None
0~ke_nikata_kA{pu._ba.}: None
0~ke_nikata_kA{swrI._e._sajIva._ba.}: None
0~ke_nikata_kA{swrI._ba._-}: None
0~ke_bahAne: None
0~ke_bahAne_kA{pu._e.}: None
0~ke_bahAne_kA{pu._ba.}: None
0~ke_bahAne_kA{swrI._e._sajIva._ba.}: None
0~ke_bahAne_kA{swrI._ba._-}: None
0~ke_bahAne_se: None
se_alaga: None
se_nirAle_kA{pu._e.}: None
se_nirAle_kA{pu._ba.}: None
se_nirAle_kA{swrI._e._sajIva._ba.}: None
se_nirAle_kA{swrI._ba._-}: None
0~bAra: None
0~jana{~swrI.;saBI}: None
0~jana{swrI.;saBI}: None
0~jana{~swrI.}: None
0~jana{swrI.}: None
pAvane+0: None
sADe+0: None
savA+0: None
0~sO: None
0~vAz{pu._e.}: None
0~vI_bAra: None
0~{swrI._ba._-}: None
0~ke_parekA{pu._e.}: None
0~ke_parekA{pu._ba.}: None
0~ke_parekA{swrI._e._sajIva._ba.}: None
0~ke_parekA{swrI._ba._-}: None
0~ke_pare: None
0~ke_xUsarI_waraPase: None
0~ke_binA: None
0~kI_apekRA: None
0~kI_apekRA_kA{pu._e.}: None
0~kI_apekRA_kA{pu._ba.}: None
0~kI_apekRA_kA{swrI._e._sajIva._ba.}: None
0~kI_apekRA_kA{swrI._ba._-}: None
0~ke_sAmane: None
waka: None
wakakA{pu._e.}: None
wakakA{pu._ba.}: None
wakakA{swrI._e._sajIva._ba.}: None
wakakA{swrI._ba._-}: None
0~ke_pAsa_kA{pu._ba.}: None
0~ke_pAsa_kA{swrI._e._sajIva._ba.}: None
0~ke_pAsa_kA{swrI._ba._-}: None
meM_se: None
meM_sekA{pu._e.}: None
meM_sekA{pu._ba.}: None
meM_sekA{swrI._e._sajIva._ba.}: None
meM_sekA{swrI._ba._-}: None
0~ke_kArana: None
0~ke_kArana_kA{pu._e.}: None
0~ke_kArana_kA{pu._ba.}: None
0~ke_kArana_kA{swrI._e._sajIva._ba.}: None
0~ke_kArana_kA{swrI._ba._-}: None
0~ke_anusAra_kA{pu._e.}: None
0~ke_anusAra_kA{pu._ba.}: None
0~ke_anusAra_kA{swrI._e._sajIva._ba.}: None
0~ke_anusAra_kA{swrI._ba._-}: None
0~kI_waraPa: None
0~ke_prawi: None
0~ke_prawi{pu._e.}: None
0~ke_prawi{pu._ba.}: None
0~ke_prawi{swrI._e.}: None
0~ke_prawi-kA{swrI._ba._-}: None
0~ke_AgekA{pu._e.}: None
0~ke_AgekA{pu._ba.}: None
0~ke_AgekA{swrI._e._sajIva._ba.}: None
0~ke_AgekA{swrI._ba._oblique}: None
0~ke_Age: None
0~ke_sAmanekA{pu._e.}: None
0~ke_Agese: None
0~ke_liye_mAwra: None
0~ke_liye_mAwra{pu._e.}: None
0~ke_liye_mAwra{pu._ba.}: None
0~ke_liye_mAwra{swrI._e.}: None
0~ke_liye_mAwra{swrI._ba._-}: None
0~ke_pUrva: None
0~ke_pUrvakA{pu._e.}: None
0~ke_pUrvakA{pu._ba.}: None
0~ke_pUrvakA{swrI._e._sajIva._ba.}: None
0~ke_pUrvakA{swrI._ba._-}: None
0~ke_cAroMora: None
0~ke_cAroM_orakA{pu._e.}: None
0~ke_cAroM_orakA{pu._ba.}: None
0~ke_cAroM_orakA{swrI._e._sajIva._ba.}: None
0~ke_cAroM_orakA{swrI._ba._-}: None
0~ke_AsapAsakA{pu._e.}: None
0~ke_AsapAsakA{pu._ba.}: None
0~ke_AsapAsakA{swrI._e._sajIva._ba.}: None
0~ke_sahiwa: None
0~ke_sahiwa_kA{pu._e.}: None
0~ke_sahiwa_kA{pu._ba.}: None
0~ke_sahiwa_kA{swrI._e.}: None
0~ke_sahiwa_kA{swrI._ba._-}: None
0~ke_sAWa_kA{pu._e.}: None
0~ke_sAWa{pu._ba.}: None
0~ke_sAWa_kA{swrI._e.}: None
0~ke_sAWa_kA{swrI._ba._-}: None
0~ke_samAna: None
0~ke_samakRa: None
0~ke_samakRakA{pu._e.}: None
0~ke_sAmanekA{pu._ba.}: None
0~ke_samakRakA{swrI._e._sajIva._ba.}: None
0~ke_samakRakA{swrI._ba._-}: None
0~ke_samavewa: None
0~ke_samavewa_kA{pu._e.}: None
0~ke_samavewa_kA{pu._ba.}: None
0~ke_samavewa_kA{swrI._e.}: None
0~ke_samavewa_kA{swrI._ba._-}: None
